mtkid,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,MoralityGeneral,PurityVice
aA3GQ6KDIU11,0.00033647375504710633,0.002187079407806191,0.004205921938088829,0.0011776581426648724,0.006393001345895021,0.001009421265141319,0.0011776581426648724,0.001345895020188425,0.00033647375504710633,0.004878869448183042,0.0011776581426648724
aA29LUD4LU11,0.00034510525710341653,0.00500402622799954,0.002933394685379041,0.001783043828367652,0.008512596341884275,0.00046014034280455535,0.0011503508570113886,0.0007477280570574027,0.00040262279995398597,0.006154377085010928,0.00028758771425284714
aA1R37XA9U11,0.0,0.002679169457468185,0.0020093770931011385,0.007367716008037508,0.002679169457468185,0.0006697923643670463,0.0006697923643670463,0.0013395847287340926,0.0006697923643670463,0.002679169457468185,0.0006697923643670463
aA194E79BU11,0.0,0.005447470817120622,0.0015564202334630351,0.004669260700389105,0.007003891050583658,0.0007782101167315176,0.0015564202334630351,0.0007782101167315176,0.0,0.00933852140077821,0.0
aAIKWZBRRU11,0.0,0.001314060446780552,0.0,0.0,0.013140604467805518,0.0,0.0,0.0,0.001314060446780552,0.002628120893561104,0.002628120893561104
aA3TW179ZU11,0.0007285193914720378,0.0023998285836725947,0.004113991857724448,0.0027855153203342623,0.008485108206556673,0.0009856438825798157,0.0027855153203342623,0.0018855796014570388,0.0012856224555388902,0.0057853010499250065,0.0007713734733233341
aA39C210BU11,0.00045609340792994403,0.002858185356360983,0.003952809535392849,0.006963026027730479,0.004864996351252737,0.0023108732668450497,0.0032534663099002678,0.00228046703964972,0.0011250304062271953,0.005260277304792021,0.001003405497445877
aAECBS7PZU11,0.0,0.0023346303501945525,0.0038910505836575885,0.0,0.005447470817120622,0.0,0.0007782101167315176,0.0007782101167315176,0.0,0.0015564202334630351,0.0007782101167315176
aADFAALOBU11,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA18ILYDBU11,0.0007437457741717378,0.005273833671399593,0.0021636240703177823,0.0012846517917511832,0.011156186612576065,0.0001352265043948614,0.0010818120351588911,0.0016903313049357676,0.00040567951318458417,0.006490872210953347,0.00020283975659229209
aA3ID5G33U11,0.0013966480446927375,0.00782122905027933,0.0036312849162011174,0.0025139664804469273,0.006983240223463687,0.0005586592178770949,0.0016759776536312847,0.00223463687150838,0.0,0.003910614525139665,0.0019553072625698325
aA2MU2U2QU11,0.0004324137334601747,0.002118827293954856,0.0031566202542592753,0.0010810343336504367,0.009210412522701722,0.0003026896134221222,0.0015999308138026464,0.0004324137334601747,0.00038917236011415716,0.007783447202283146,0.0003026896134221222
aA2JHF7CUU11,0.00033537352226041756,0.00247337972667058,0.002850674939213549,0.001089963947346357,0.005449819736731785,0.00033537352226041756,0.002012241133562505,0.0005449819736731785,0.0008384338056510439,0.0055336631172968895,0.00037729521254296975
aA3B2RWV5U11,0.0,0.0,0.0,0.0,0.0020964360587002093,0.0,0.0,0.0,0.0,0.0,0.0
