handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
rogan12h,A203C9REA20IT3,Public,Public,0|100,62,TRUE,2671
beyondedm,A38DXFI1TZA295,Public,Public,1000|999999,1434,TRUE,5090
Invicious,A102VHF4S7WXQF,Public,Public,0|100,14,TRUE,128
KYhomemaker,ATOV0H5KQHI29,Public,Public,100|200,74,TRUE,5837
amber_gardner85,A1VFRCYMWGWWCZ,Public,Public,0|100,25,TRUE,7
Jakra64,AT7QJKGCPSO6J,Public,Public,0|100,11,TRUE,9
deosoculus,A3EHI7J2E5DSJK,Public,Public,0|100,66,TRUE,5592
TerrieW1,A1QJ2VPPZG16EG,Public,Public,0|100,4,TRUE,8
wtblanchard,A1DNJ17PE2RYJZ,Public,Public,100|200,165,TRUE,206
hp246,A2VX8B1CJXRN2,Public,Public,0|100,41,TRUE,306
scubasjl,A2FIMENJ9UMN7M,Public,Public,0|100,25,TRUE,373
southernbred__,A12WRJ2ZMDW3SU,Public,Public,200|300,212,TRUE,7047
Cheapgamer1,A2H5UA2MUBT4QX,Public,Public,0|100,0,TRUE,3
clubmarkgirard,A3862RIFFUV141,Public,Public,800|900,806,TRUE,14875
ryanmitchell5,A32U64W0S9PUA3,Public,Public,100|200,172,TRUE,10161
ElfishCascade,AQBMXL3D39ZC0,Public,Public,0|100,66,TRUE,9093
colecodez,A3VY42IIJXD3IC,Public,Public,100|200,74,TRUE,133
Messejajs,A2YFTTVAH9AFXU,Public,Public,1000|999999,1186,TRUE,7153
A102310239,AE87K978IXPYP,Public,Public,0|100,1,TRUE,1
southbuckneppy,A2E3UTEZNB9BN9,Public,Public,0|100,7,TRUE,34
pcahhr,A27GK6AHDNFW5Y,Public,Public,0|100,0,TRUE,23
sidybay,AA6K05EFNJ3T0,Public,Public,300|400,422,TRUE,1388
ReddudeBo,AO33H4GL9KZX9,Public,Public,0|100,0,TRUE,9
EmperorPainguin,AUHRS2GFPRADF,Public,Public,0|100,24,TRUE,467
Businessline910,A3B919K25SR35,Public,Public,200|300,301,TRUE,435
MPRSteve,AKX5RHHO8BIUX,Public,Public,0|100,46,TRUE,29
thawedoutpro,A1PIGZNLSQMGNW,Public,Public,800|900,835,TRUE,9380
WillametteFred,A3HSONMX6LNZR4,Public,Public,200|300,263,TRUE,14029
r0ssiter,A6N190372TE5T,Public,Public,0|100,10,TRUE,207
lindsey317536,ACRTRQ23XH20E,Public,Public,100|200,6,TRUE,129
oliviabortner,A4CPMNA135GK4,Public,Public,200|300,255,TRUE,1178
TalatTheSenocak,ACGZDI611LU0I,Public,Public,0|100,0,TRUE,6
eLLyPirman__12,A3J2JDTVK5TN5S,Public,Public,500|600,551,TRUE,6827
FerengiFinance,A23IRWAODQDAA7,Public,Public,0|100,33,TRUE,170
mvin113,A1S315FYTGY9GL,Public,Public,0|100,5,TRUE,15
lizsutton1009,A3BL2ZEODD79AZ,Public,Public,500|600,548,TRUE,277
azzric,A28F1ZWZ9H0RHA,Public,Public,1000|999999,2017,TRUE,27659
victoria4492,A2NYDCQ3Y6QS4Q,Public,Public,0|100,24,TRUE,93
RamblingCake,A3GAQNTZ1V1VO,Public,Public,100|200,183,TRUE,78
KaprakDota,AUFUUD4WG9CVO,Public,Public,0|100,13,TRUE,431
misseslovejoy,A17485GZMUEVZ9,Public,Public,0|100,0,TRUE,3
Suchka1974,A1KCC93NOV6TH2,Public,Public,0|100,1,TRUE,7
111joejoe,A3RS7UCO7CQ74R,Public,Public,0|100,1,TRUE,4
mrdysgo,A3774HPOUKYTX7,Public,Public,1000|999999,4723,TRUE,20148
byrstn,A1AZLJ3R5FQ9B7,Public,Public,0|100,39,TRUE,324
UFCory28,A3RFELKHWTBCB4,Public,Public,100|200,119,TRUE,2150
kuppusam,AQH9FEEROUJUO,Public,Public,0|100,26,TRUE,379
leetroit16,A1G7T6PC3KNH4M,Public,Public,100|200,110,TRUE,640
JEkum,A8YVGN8FQ3VH4,Public,Public,0|100,24,TRUE,223
freshdipsllc,A1M8GE34UYSUCB,Public,Public,0|100,5,TRUE,23
Richard30727186,A1CW0W7Q2NLDDJ,Public,Public,0|100,0,TRUE,1
RyanBoney1,AHEEMGVMGEMEQ,Public,Public,0|100,21,TRUE,22
vman12584,A3IU2E7QCWYEZI,Public,Public,0|100,1,TRUE,28
Antamania1,A2HSCKH5NKN5LP,Public,Public,100|200,130,TRUE,21
babuhanna,A222R4PNCF08OF,Public,Public,0|100,13,TRUE,121
ReidLuzzader ,A3V0DBGRRC1B67,Public,Public,0|100,44,TRUE,146
TrevinHunter,A1XJKGLSPFWRBT,Public,Public,I do not wish to disclose this information.,215,TRUE,1199
BillySpencerW7,A2WYCY1FMQOD5F,Public,Public,100|200,163,TRUE,14168
kraftygourmet,A1YKFB1EKM08EV,Private,Public,0|100,0,TRUE,278
gingerleigh1973,A2S96ZZ70YFPSK,Public,Public,0|100,5,TRUE,12
davdv12312,A2ETY1O927Z1IF,Public,Public,0|100,74,TRUE,752
arcadeforest,ANWY0TG55MWW9,Public,Public,100|200,153,TRUE,495
PoisonedJax,ACSZKZPBGYYKO,Public,Public,0|100,94,TRUE,13861
OCKoopa,A4YG74WC1EK5V,Public,Public,0|100,39,TRUE,2274
jankywitch,A1FD2PO9OQ2LY8,Public,Public,0|100,16,TRUE,160
connerysteph,A1BRPPNBN3LKU5,Public,Public,1000|999999,4512,TRUE,9659
alistastrology,A1U3TT3VMH9FU9,Public,Public,100|200,74,TRUE,703
JENNYOWENS34,A3CA7SCTM4H9IO,Public,Public,0|100,0,TRUE,265
K_Renee,AKN67C89B5QW5,Public,Public,200|300,262,TRUE,10235
BobbyFlayIsOkay,ACN0C9HPYDTED,Public,Public,0|100,29,TRUE,112
LupoFN,AXY0D2AMLKE2A,Public,Public,800|900,858,TRUE,98650
jag_fan,A2DKE3NCEA5W79,Public,Public,300|400,379,TRUE,1284
SloaneRanger_,A38N2MBXP7IOPS,Public,Public,700|800,720,TRUE,21357
chichi_powers,A3H5HW66S1BKID,Public,Public,1000|999999,11326,TRUE,30634
GingerSnapRowdy,A3JPYCC2U4D9CZ,Public,Public,1000|999999,1971,TRUE,133
bkingz32,A5OBJUPZLVOKG,Public,Public,0|100,7,TRUE,508
collinseden,A318574M8Q965P,Public,Public,0|100,5,TRUE,10
roxy_yvette,ADA69G66J3524,Public,Public,300|400,242,TRUE,2643
NCTRoss,A1T9XW8SNUDDY7,Public,Public,200|300,222,TRUE,7929
gingflower,A1RAMKQ7DTZSY9,Public,Public,100|200,20,TRUE,6
Vaurok,A1SOQ9Q35SASE4,Public,Public,0|100,3,TRUE,15
killabud,A17K1CHOI773VZ,Public,Public,0|100,15,TRUE,469
DeeBeedee4,A3HZIPKSCYU7ZI,Public,Public,0|100,17,TRUE,96
Sarcastic_hubby,A20MO1430Z8C18,Private,Public,300|400,356,TRUE,23135
coords1306,AOTIV8H84F69E,Public,Public,200|300,212,TRUE,1460
GJishere27,A1PNQWE4UAI1P2,Public,Public,0|100,21,TRUE,393
2121nick2121,A1IIDR9HLUB1MR,Public,Public,0|100,5,TRUE,188
Kdubsosolid,A5DC16SOZSECI,Public,Public,1000|999999,1717,TRUE,260896
lilycap,A27O2IILV3S5YS,Public,Public,1000|999999,1909,TRUE,58489
DBAnthony58,A2BA753YMXLDAP,Public,Public,0|100,1,TRUE,14
phredphnerd,AJZT40UH0HWQ3,Public,Public,0|100,7,TRUE,41
Negus_Nyte23,A1CSHXVJJ8BPHH,Public,Public,1000|999999,1597,TRUE,35992
mastershmee,A3CXK1KSRGU27V,Public,Public,0|100,0,TRUE,3
lindsaybedra,8298177,Private,Public,100|200,12,TRUE,28
Jokergt50,A17SHUZEBPYOO2,Public,Public,0|100,2,TRUE,14
annanemuss,A2WKEUKBXD5EMV,Public,Public,100|200,10,TRUE,74
WatchVlad,A1YZJTC04W0A01,Public,Public,0|100,81,TRUE,478
fathimmaaa,A1XBAS3AXLFB5F,Private,Public,100|200,163,TRUE,7667
wrjr74,A2KPT0PEUEXCC4,Public,Public,0|100,5,TRUE,274
humyn_first,AF6SPK6UEL3,Public,Public,100|200,128,TRUE,2382
75_iroc87,A2VLTSW6CXIUMR,Public,Public,0|100,77,TRUE,676
